town	comarca	territori	dialecte	notes
Salelles	Rosselló	Catalunya Nord	septentrional	
Salses	Rosselló	Catalunya Nord	septentrional	
Sant Andreu de Sureda	Rosselló	Catalunya Nord	septentrional	
Sant Cebrià de Rosselló	Rosselló	Catalunya Nord	septentrional	
Sant Esteve del Monestir	Rosselló	Catalunya Nord	septentrional	
Sant Feliu d'Amunt	Rosselló	Catalunya Nord	septentrional	
Sant Feliu d'Avall	Rosselló	Catalunya Nord	septentrional	
Sant Genís de Fontanes	Rosselló	Catalunya Nord	septentrional	
Sant Hipòlit de la Salanca	Rosselló	Catalunya Nord	septentrional	
Sant Joan la Cella	Rosselló	Catalunya Nord	septentrional	
Sant Llorenç de la Salanca	Rosselló	Catalunya Nord	septentrional	
Sant Marçal (Rosselló)	Rosselló	Catalunya Nord	septentrional	
Sant Miquel de Llotes	Rosselló	Catalunya Nord	septentrional	
Sant Nazari de Rosselló	Rosselló	Catalunya Nord	septentrional	
Santa Coloma de Tuïr	Rosselló	Catalunya Nord	septentrional	
Santa Maria la Mar	Rosselló	Catalunya Nord	septentrional	
Sureda (Rosselló)	Rosselló	Catalunya Nord	septentrional	
Talteüll	Rosselló	Catalunya Nord	septentrional	
Tellet	Rosselló	Catalunya Nord	septentrional	
Terrats	Rosselló	Catalunya Nord	septentrional	
Tesà	Rosselló	Catalunya Nord	septentrional	
Teulís	Rosselló	Catalunya Nord	septentrional	
Toluges	Rosselló	Catalunya Nord	septentrional	
Torderes	Rosselló	Catalunya Nord	septentrional	
Torrelles de la Salanca	Rosselló	Catalunya Nord	septentrional	
Trasserra	Rosselló	Catalunya Nord	septentrional	
Trullars	Rosselló	Catalunya Nord	septentrional	
Tuïr	Rosselló	Catalunya Nord	septentrional	
Vilallonga de la Salanca	Rosselló	Catalunya Nord	septentrional	
Vilallonga dels Monts	Rosselló	Catalunya Nord	septentrional	
Vilamulaca	Rosselló	Catalunya Nord	septentrional	
Vilanova de Raò	Rosselló	Catalunya Nord	septentrional	
Vilanova de la Ribera	Rosselló	Catalunya Nord	septentrional	
Vingrau	Rosselló	Catalunya Nord	septentrional	
Vivers	Rosselló	Catalunya Nord	septentrional	
el Barcarès	Rosselló	Catalunya Nord	septentrional	
el Voló	Rosselló	Catalunya Nord	septentrional	
la Bastida	Rosselló	Catalunya Nord	septentrional	
la Roca d'Albera	Rosselló	Catalunya Nord	septentrional	
la Torre d'Elna	Rosselló	Catalunya Nord	septentrional	
Òpol i Perellós	Rosselló	Catalunya Nord	septentrional	
Arles	Vallespir	Catalunya Nord	septentrional	
Ceret	Vallespir	Catalunya Nord	septentrional	
Cortsaví	Vallespir	Catalunya Nord	septentrional	
Costoja (Vallespir)	Vallespir	Catalunya Nord	septentrional	
Montboló	Vallespir	Catalunya Nord	septentrional	
Montferrer	Vallespir	Catalunya Nord	septentrional	
Morellàs i les Illes	Vallespir	Catalunya Nord	septentrional	
Prats de Molló i la Presta	Vallespir	Catalunya Nord	septentrional	
Reiners	Vallespir	Catalunya Nord	septentrional	
Sant Joan de Pladecorts	Vallespir	Catalunya Nord	septentrional	
Sant Llorenç de Cerdans	Vallespir	Catalunya Nord	septentrional	
Serrallonga (Vallespir)	Vallespir	Catalunya Nord	septentrional	
el Pertús	Vallespir	Catalunya Nord	septentrional	
el Tec	Vallespir	Catalunya Nord	septentrional	
els Banys i Palaldà	Vallespir	Catalunya Nord	septentrional	
l'Albera	Vallespir	Catalunya Nord	septentrional	
la Menera	Vallespir	Catalunya Nord	septentrional	
les Cluses	Vallespir	Catalunya Nord	septentrional	
Bellver de Cinca	Baix Cinca	Franja de Ponent	unknown	aragonesòfon
Campdàsens	Baix Cinca	Franja de Ponent	unknown	aragonesòfon
Fraga	Baix Cinca	Franja de Ponent	northwestern	
Mequinensa	Baix Cinca	Franja de Ponent	northwestern	
Ontinyena	Baix Cinca	Franja de Ponent	unknown	aragonesòfon
Ossó de Cinca	Baix Cinca	Franja de Ponent	unknown	aragonesòfon
Saidí	Baix Cinca	Franja de Ponent	northwestern	
Torrent de Cinca	Baix Cinca	Franja de Ponent	northwestern	
Vallobar	Baix Cinca	Franja de Ponent	unknown	aragonesòfon
Vilella de Cinca	Baix Cinca	Franja de Ponent	northwestern	
Xalamera	Baix Cinca	Franja de Ponent	unknown	aragonesòfon
Albelda	Llitera	Franja de Ponent	northwestern	
Baells	Llitera	Franja de Ponent	northwestern	
Binèfar	Llitera	Franja de Ponent	northwestern	capital comarcal, tradicionalment de parla més castellanitzada
Camporrells	Llitera	Franja de Ponent	northwestern	
Castellonroi	Llitera	Franja de Ponent	northwestern	
Esplucs	Llitera	Franja de Ponent	northwestern	alguns nuclis de llengua incerta
Peralta i Calassanç	Llitera	Franja de Ponent	northwestern	
Sant Esteve de Llitera	Llitera	Franja de Ponent	northwestern	
Sanui i Alins	Llitera	Franja de Ponent	northwestern	Sanui catalanòfon, Alins aragonòfon
Tamarit de Llitera	Llitera	Franja de Ponent	northwestern	
Valldellou	Llitera	Franja de Ponent	northwestern	
Vensilló	Llitera	Franja de Ponent	northwestern	llengua vehicular no assegurada
el Campell	Llitera	Franja de Ponent	northwestern	
el Torricó	Llitera	Franja de Ponent	northwestern	
Arenys de Lledó	Matarranya	Franja de Ponent	northwestern	
Beseit	Matarranya	Franja de Ponent	northwestern	
Calaceit	Matarranya	Franja de Ponent	northwestern	
Fondespatla	Matarranya	Franja de Ponent	northwestern	
Fórnols de Matarranya	Matarranya	Franja de Ponent	northwestern	
Lledó d'Algars	Matarranya	Franja de Ponent	northwestern	
Massalió	Matarranya	Franja de Ponent	northwestern	
Mont-roig de Tastavins	Matarranya	Franja de Ponent	northwestern	
Pena-roja	Matarranya	Franja de Ponent	northwestern	
Queretes	Matarranya	Franja de Ponent	northwestern	
Ràfels	Matarranya	Franja de Ponent	northwestern	
Torredarques	Matarranya	Franja de Ponent	northwestern	
Vall-de-roures	Matarranya	Franja de Ponent	northwestern	
Valljunquera	Matarranya	Franja de Ponent	northwestern	
la Freixneda	Matarranya	Franja de Ponent	northwestern	
la Portellada	Matarranya	Franja de Ponent	northwestern	
la Torre del Comte	Matarranya	Franja de Ponent	northwestern	
la Vall de Tormo	Matarranya	Franja de Ponent	northwestern	
Benavarri	Ribagorça	Franja de Ponent	northwestern	
Beranui	Ribagorça	Franja de Ponent	northwestern	
Castigaleu	Ribagorça	Franja de Ponent	northwestern	
Estopanyà	Ribagorça	Franja de Ponent	northwestern	
Isàvena	Ribagorça	Franja de Ponent	northwestern	
Lasquarri	Ribagorça	Franja de Ponent	northwestern	
Monesma i Queixigar	Ribagorça	Franja de Ponent	northwestern	
Tolba	Ribagorça	Franja de Ponent	northwestern	
Tor-la-ribera	Ribagorça	Franja de Ponent	northwestern	
Viacamp i Lliterà	Ribagorça	Franja de Ponent	northwestern	
Sant Antoni de Portmany	Eivissa	Illes Balears	balearic	
Sant Joan de Labritja	Eivissa	Illes Balears	balearic	
Sant Josep de sa Talaia	Eivissa	Illes Balears	balearic	
Santa Eulària des Riu	Eivissa	Illes Balears	balearic	
Formentera	Formentera	Illes Balears	balearic	
Eivissa (municipi)	Illa d'Eivissa	Illes Balears	balearic	
Alaró	Mallorca	Illes Balears	balearic	
Alcúdia	Mallorca	Illes Balears	balearic	
Algaida	Mallorca	Illes Balears	balearic	
Andratx	Mallorca	Illes Balears	balearic	
Ariany	Mallorca	Illes Balears	balearic	
Artà	Mallorca	Illes Balears	balearic	
Banyalbufar	Mallorca	Illes Balears	balearic	
Binissalem	Mallorca	Illes Balears	balearic	
Bunyola	Mallorca	Illes Balears	balearic	
Búger	Mallorca	Illes Balears	balearic	
Calvià	Mallorca	Illes Balears	balearic	
Campanet	Mallorca	Illes Balears	balearic	
Campos	Mallorca	Illes Balears	balearic	
Capdepera	Mallorca	Illes Balears	balearic	
Consell	Mallorca	Illes Balears	balearic	
Costitx	Mallorca	Illes Balears	balearic	
Deià	Mallorca	Illes Balears	balearic	
Escorca	Mallorca	Illes Balears	balearic	
Esporles	Mallorca	Illes Balears	balearic	
Establiments	Mallorca	Illes Balears	balearic	
Estellencs	Mallorca	Illes Balears	balearic	
Felanitx	Mallorca	Illes Balears	balearic	
Fornalutx	Mallorca	Illes Balears	balearic	
Inca (Mallorca)	Mallorca	Illes Balears	balearic	
Lloret de Vistalegre	Mallorca	Illes Balears	balearic	
Lloseta	Mallorca	Illes Balears	balearic	
Llubí	Mallorca	Illes Balears	balearic	
Llucmajor	Mallorca	Illes Balears	balearic	
Manacor	Mallorca	Illes Balears	balearic	
Mancor de la Vall	Mallorca	Illes Balears	balearic	
Maria de la Salut	Mallorca	Illes Balears	balearic	
Marratxí	Mallorca	Illes Balears	balearic	
Montuïri	Mallorca	Illes Balears	balearic	
Muro (Mallorca)	Mallorca	Illes Balears	balearic	
Palma	Mallorca	Illes Balears	balearic	
Petra (Mallorca)	Mallorca	Illes Balears	balearic	
Pollença	Mallorca	Illes Balears	balearic	
Porreres	Mallorca	Illes Balears	balearic	
Puigpunyent	Mallorca	Illes Balears	balearic	
S'Arracó	Mallorca	Illes Balears	balearic	
Sa Pobla	Mallorca	Illes Balears	balearic	
Sant Joan (Mallorca)	Mallorca	Illes Balears	balearic	
Sant Llorenç des Cardassar	Mallorca	Illes Balears	balearic	
Santa Eugènia (municipi de Mallorca)	Mallorca	Illes Balears	balearic	
Santa Margalida	Mallorca	Illes Balears	balearic	
Santa Maria del Camí	Mallorca	Illes Balears	balearic	
Santanyí	Mallorca	Illes Balears	balearic	
Selva (Mallorca)	Mallorca	Illes Balears	balearic	
Sencelles	Mallorca	Illes Balears	balearic	
Ses Salines	Mallorca	Illes Balears	balearic	
Sineu	Mallorca	Illes Balears	balearic	
Son Servera	Mallorca	Illes Balears	balearic	
Sóller	Mallorca	Illes Balears	balearic	
Valldemossa	Mallorca	Illes Balears	balearic	
Vilafranca de Bonany	Mallorca	Illes Balears	balearic	
Alaior	Menorca	Illes Balears	balearic	
Ciutadella de Menorca	Menorca	Illes Balears	balearic	
Es Mercadal	Menorca	Illes Balears	balearic	
Es Migjorn Gran	Menorca	Illes Balears	balearic	
Ferreries	Menorca	Illes Balears	balearic	
Maó	Menorca	Illes Balears	balearic	
Sant Lluís	Menorca	Illes Balears	balearic	
es Castell	Menorca	Illes Balears	balearic	
Agost (Alacantí)	Alacantí	País Valencià	valencian	
Aigües	Alacantí	País Valencià	valencian	
Alacant	Alacantí	País Valencià	valencian	
Busot	Alacantí	País Valencià	valencian	
Mutxamel	Alacantí	País Valencià	valencian	
Sant Joan d'Alacant	Alacantí	País Valencià	valencian	
Sant Vicent del Raspeig	Alacantí	País Valencià	valencian	
Xixona	Alacantí	País Valencià	valencian	
el Campello	Alacantí	País Valencià	valencian	
la Torre de les Maçanes	Alacantí	País Valencià	valencian	
Costur	Alcalatén	País Valencià	valencian	
Figueroles	Alcalatén	País Valencià	valencian	
Llucena	Alcalatén	País Valencià	valencian	
Vistabella del Maestrat	Alcalatén	País Valencià	valencian	
Xodos	Alcalatén	País Valencià	valencian	
l'Alcora	Alcalatén	País Valencià	valencian	
les Useres	Alcalatén	País Valencià	valencian	
Alcoi	Alcoià	País Valencià	valencian	
Banyeres de Mariola	Alcoià	País Valencià	valencian	
Benifallim	Alcoià	País Valencià	valencian	
Castalla	Alcoià	País Valencià	valencian	
Ibi	Alcoià	País Valencià	valencian	
Onil	Alcoià	País Valencià	valencian	
Penàguila	Alcoià	País Valencià	valencian	
Tibi	Alcoià	País Valencià	valencian	
Albocàsser (Alt Maestrat)	Alt Maestrat	País Valencià	valencian	
Ares del Maestrat	Alt Maestrat	País Valencià	valencian	
Atzeneta del Maestrat	Alt Maestrat	País Valencià	valencian	
Benafigos	Alt Maestrat	País Valencià	valencian	
Benassal	Alt Maestrat	País Valencià	valencian	
Catí	Alt Maestrat	País Valencià	valencian	
Culla	Alt Maestrat	País Valencià	valencian	
Tírig	Alt Maestrat	País Valencià	valencian	
Vilar de Canes	Alt Maestrat	País Valencià	valencian	
la Serratella	Alt Maestrat	País Valencià	valencian	
la Torre d'en Besora	Alt Maestrat	País Valencià	valencian	
Aiòder	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Aranyel	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Argeleta	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Cirat	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Cortes d'Arenós	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Espadella (Alt Millars)	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Fanzara	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Lludient	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Montanejos	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Montant	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Sucaina	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Toga	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Torralba (Alt Millars)	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Torre-xiva	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Vallat	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Vilafermosa	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Vilamalur	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Vilanova de Viver	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
el Castell de Vilamalefa	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
la Font de la Reina	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
la Pobla d'Arenós	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
les Fonts d'Aiòder	Alt Millars	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Algímia d'Almonesir	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Almedíxer	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Altura (Alt Palància)	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Assuévar	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Barraques	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Begís	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Benafer	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Castellnou (Alt Palància)	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Caudiel	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Figueres (Alt Palància)	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Gaibiel	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Geldo	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Matet	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Navaixes	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Pavies	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Pina (Alt Palància)	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Sacanyet	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Sogorb	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Soneja	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Sot de Ferrer	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Teresa (Alt Palància)	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Toràs	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Viver	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xèrica	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xóvar	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
el Toro	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
la Vall d'Almonesir	Alt Palància	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Beneixama	Alt Vinalopó	País Valencià	valencian	
Biar	Alt Vinalopó	País Valencià	valencian	
Saix	Alt Vinalopó	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Salines	Alt Vinalopó	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Villena	Alt Vinalopó	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
el Camp de Mirra	Alt Vinalopó	País Valencià	valencian	
la Canyada de Biar	Alt Vinalopó	País Valencià	valencian	
Alcalà de Xivert	Baix Maestrat	País Valencià	valencian	
Benicarló	Baix Maestrat	País Valencià	valencian	
Canet lo Roig	Baix Maestrat	País Valencià	valencian	
Castell de Cabres	Baix Maestrat	País Valencià	valencian	
Cervera del Maestrat	Baix Maestrat	País Valencià	valencian	
Càlig	Baix Maestrat	País Valencià	valencian	
Peníscola	Baix Maestrat	País Valencià	valencian	
Rossell	Baix Maestrat	País Valencià	valencian	
Sant Jordi (Baix Maestrat)	Baix Maestrat	País Valencià	valencian	
Sant Mateu (Baix Maestrat)	Baix Maestrat	País Valencià	valencian	
Sant Rafel del Riu	Baix Maestrat	País Valencià	valencian	
Santa Magdalena de Polpís	Baix Maestrat	País Valencià	valencian	
Traiguera	Baix Maestrat	País Valencià	valencian	
Vinaròs	Baix Maestrat	País Valencià	valencian	
Xert	Baix Maestrat	País Valencià	valencian	
la Jana	Baix Maestrat	País Valencià	valencian	
la Pobla de Benifassà	Baix Maestrat	País Valencià	valencian	
la Salzadella	Baix Maestrat	País Valencià	valencian	
Albatera	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Algorfa	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Almoradí	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Benejússer	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Benferri	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Benijòfer	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Bigastre	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Callosa de Segura	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Catral	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Coix	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Daia Nova	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Daia Vella	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Dolors	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Formentera del Segura	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Guardamar del Segura	Baix Segura	País Valencià	valencian	
Los Montesinos	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Oriola	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Rafal	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Redovà	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Rojals	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Sant Fulgenci (Baix Segura)	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Sant Isidre (Baix Segura)	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Sant Miquel de les Salines	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Torrevella	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xacarella	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
el Pilar de la Foradada	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
la Granja de Rocamora	Baix Segura	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Crevillent	Baix Vinalopó	País Valencià	valencian	
Elx	Baix Vinalopó	País Valencià	valencian	
Santa Pola	Baix Vinalopó	País Valencià	valencian	
Albalat dels Tarongers	Camp de Morvedre	País Valencià	valencian	
Alfara de la Baronia	Camp de Morvedre	País Valencià	valencian	
Algar de Palància	Camp de Morvedre	País Valencià	valencian	
Algímia d'Alfara	Camp de Morvedre	País Valencià	valencian	
Benavites	Camp de Morvedre	País Valencià	valencian	
Benifairó de les Valls	Camp de Morvedre	País Valencià	valencian	
Canet d'en Berenguer	Camp de Morvedre	País Valencià	valencian	
Estivella	Camp de Morvedre	País Valencià	valencian	
Faura	Camp de Morvedre	País Valencià	valencian	
Gilet	Camp de Morvedre	País Valencià	valencian	
Petrés	Camp de Morvedre	País Valencià	valencian	
Quart de les Valls	Camp de Morvedre	País Valencià	valencian	
Quartell	Camp de Morvedre	País Valencià	valencian	
Sagunt	Camp de Morvedre	País Valencià	valencian	
Segart	Camp de Morvedre	País Valencià	valencian	
Torres Torres	Camp de Morvedre	País Valencià	valencian	
Benaguasil	Camp de Túria	País Valencià	valencian	
Benissanó	Camp de Túria	País Valencià	valencian	
Bétera	Camp de Túria	País Valencià	valencian	
Casinos	Camp de Túria	País Valencià	valencian	
Gàtova	Camp de Túria	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Llíria	Camp de Túria	País Valencià	valencian	
Loriguilla	Camp de Túria	País Valencià	valencian	
Marines (Camp de Túria)	Camp de Túria	País Valencià	valencian	
Nàquera	Camp de Túria	País Valencià	valencian	
Olocau	Camp de Túria	País Valencià	valencian	
Riba-roja de Túria	Camp de Túria	País Valencià	valencian	
Sant Antoni de Benaixeve	Camp de Túria	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Serra (Camp de Túria)	Camp de Túria	País Valencià	valencian	
Vilamarxant	Camp de Túria	País Valencià	valencian	
l'Eliana	Camp de Túria	País Valencià	valencian	
la Pobla de Vallbona	Camp de Túria	País Valencià	valencian	
Anna	Canal de Navarrés	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Bicorb	Canal de Navarrés	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Bolbait	Canal de Navarrés	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Millars (Canal de Navarrés)	Canal de Navarrés	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Navarrés	Canal de Navarrés	País Valencià	valencian	
Quesa	Canal de Navarrés	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xella	Canal de Navarrés	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Énguera	Canal de Navarrés	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
València	Comarca de València	País Valencià	valencian	
Agres	Comtat (País Valencià)	País Valencià	valencian	
Alcoleja	Comtat (País Valencià)	País Valencià	valencian	
Alcosser	Comtat (País Valencià)	País Valencià	valencian	
Alfafara	Comtat (País Valencià)	País Valencià	valencian	
Almudaina	Comtat (País Valencià)	País Valencià	valencian	
Balones	Comtat (País Valencià)	País Valencià	valencian	
Benasau	Comtat (País Valencià)	País Valencià	valencian	
Beniarrés	Comtat (País Valencià)	País Valencià	valencian	
Benilloba	Comtat (País Valencià)	País Valencià	valencian	
Benillup	Comtat (País Valencià)	País Valencià	valencian	
Benimarfull	Comtat (País Valencià)	País Valencià	valencian	
Benimassot	Comtat (País Valencià)	País Valencià	valencian	
Cocentaina	Comtat (País Valencià)	País Valencià	valencian	
Fageca	Comtat (País Valencià)	País Valencià	valencian	
Famorca	Comtat (País Valencià)	País Valencià	valencian	
Gaianes	Comtat (País Valencià)	País Valencià	valencian	
Gorga (Comtat)	Comtat (País Valencià)	País Valencià	valencian	
Millena	Comtat (País Valencià)	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Muro d'Alcoi	Comtat (País Valencià)	País Valencià	valencian	
Planes de la Baronia	Comtat (País Valencià)	País Valencià	valencian	
Quatretondeta	Comtat (País Valencià)	País Valencià	valencian	
Tollos	Comtat (País Valencià)	País Valencià	valencian	
l'Alqueria d'Asnar	Comtat (País Valencià)	País Valencià	valencian	
l'Orxa	Comtat (País Valencià)	País Valencià	valencian	
Barxeta	Costera	País Valencià	valencian	
Canals (Costera)	Costera	País Valencià	valencian	
Cerdà	Costera	País Valencià	valencian	
Estubeny	Costera	País Valencià	valencian	
Llanera de Ranes	Costera	País Valencià	valencian	
Llocnou d'en Fenollet	Costera	País Valencià	valencian	
Moixent	Costera	País Valencià	valencian	
Montesa	Costera	País Valencià	valencian	
Novetlè	Costera	País Valencià	valencian	
Rotglà i Corberà	Costera	País Valencià	valencian	
Torrella	Costera	País Valencià	valencian	
Vallada	Costera	País Valencià	valencian	
Vallés	Costera	País Valencià	valencian	
Xàtiva	Costera	País Valencià	valencian	
el Genovés	Costera	País Valencià	valencian	
l'Alcúdia de Crespins	Costera	País Valencià	valencian	
la Font de la Figuera	Costera	País Valencià	valencian	
la Granja de la Costera	Costera	País Valencià	valencian	
la Llosa de Ranes	Costera	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Alboraig	Foia de Bunyol	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Bunyol	Foia de Bunyol	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Dosaigües	Foia de Bunyol	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Godelleta	Foia de Bunyol	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Iàtova	Foia de Bunyol	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Macastre	Foia de Bunyol	País Valencià	valencian	
Setaigües	Foia de Bunyol	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xest	Foia de Bunyol	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Xiva (Foia de Bunyol)	Foia de Bunyol	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Albalat dels Sorells	Horta Nord	País Valencià	valencian	
Alboraia	Horta Nord	País Valencià	valencian	
Albuixec	Horta Nord	País Valencià	valencian	
Alfara del Patriarca	Horta Nord	País Valencià	valencian	
Almàssera	Horta Nord	País Valencià	valencian	
Bonrepòs i Mirambell	Horta Nord	País Valencià	valencian	
Burjassot	Horta Nord	País Valencià	valencian	
Emperador (Horta Nord)	Horta Nord	País Valencià	valencian	
Foios	Horta Nord	País Valencià	valencian	
Godella	Horta Nord	País Valencià	valencian	
Massalfassar	Horta Nord	País Valencià	valencian	
Massamagrell	Horta Nord	País Valencià	valencian	
Meliana	Horta Nord	País Valencià	valencian	
Montcada (Horta Nord)	Horta Nord	País Valencià	valencian	
Museros	Horta Nord	País Valencià	unknown	zona històricament castellanoparlant del País Valencià
Paterna	Horta Nord	País Valencià	valencian	
Puçol	Horta Nord	País Valencià	valencian	
Rafelbunyol	Horta Nord	País Valencià	valencian	
Rocafort	Horta Nord	País Valencià	valencian	
Tavernes Blanques	Horta Nord	País Valencià	valencian	
Vinalesa	Horta Nord	País Valencià	valencian	
el Puig de Santa Maria	Horta Nord	País Valencià	valencian	
la Pobla de Farnals	Horta Nord	País Valencià	valencian	
Alaquàs	Horta Sud	País Valencià	valencian	
Albal	Horta Sud	País Valencià	valencian	
Alcàsser (Horta Sud)	Horta Sud	País Valencià	valencian	
Aldaia	Horta Sud	País Valencià	valencian	
Alfafar	Horta Sud	País Valencià	valencian	
Benetússer	Horta Sud	País Valencià	valencian	
Beniparrell	Horta Sud	País Valencià	valencian	
Catarroja	Horta Sud	País Valencià	valencian	
Llocnou de la Corona	Horta Sud	País Valencià	valencian	
